# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	19191	20408	+					nspC		HELPY_RS00125	1218		old_locus_tag=HELPY_0018
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	19191	20408	+	WP_000760863.1	WP_000760863.1		carboxynorspermidine decarboxylase	nspC		HELPY_RS00125	1218	405	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	20418	20951	-					lpxE		HELPY_RS00130	534		old_locus_tag=HELPY_0019
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	20418	20951	-	WP_231844041.1	WP_231844041.1		lipid A 1-phosphatase LpxE	lpxE		HELPY_RS00130	534	177	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	21001	22566	-					eptA		HELPY_RS00135	1566		old_locus_tag=HELPY_0020
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	21001	22566	-	WP_000157529.1	WP_000157529.1		phosphoethanolamine--lipid A transferase EptA	eptA		HELPY_RS00135	1566	521	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	23206	25338	-					labA		HELPY_RS00150	2133		old_locus_tag=HELPY_0022
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	23206	25338	-	WP_000727156.1	WP_000727156.1		Hop family adhesin LabA	labA		HELPY_RS00150	2133	710	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	25869	27149	-							HELPY_RS00155	1281		old_locus_tag=HELPY_0024
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	25869	27149	-	WP_000117407.1	WP_000117407.1		citrate synthase			HELPY_RS00155	1281	426	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	27350	28627	+					icd		HELPY_RS00160	1278		old_locus_tag=HELPY_0025
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	27350	28627	+	WP_000323967.1	WP_000323967.1		isocitrate dehydrogenase (NADP(+))	icd		HELPY_RS00160	1278	425	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	28694	29221	+							HELPY_RS00165	528		old_locus_tag=HELPY_0026
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	28694	29221	+	WP_012777813.1	WP_012777813.1		DUF1523 family protein			HELPY_RS00165	528	175	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	29198	29851	-					bioD		HELPY_RS00170	654		old_locus_tag=HELPY_0027
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	29198	29851	-	WP_000897505.1	WP_000897505.1		dethiobiotin synthase	bioD		HELPY_RS00170	654	217	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	29855	31567	-							HELPY_RS00175	1713		old_locus_tag=HELPY_0028
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	29855	31567	-	WP_000926166.1	WP_000926166.1		hypothetical protein			HELPY_RS00175	1713	570	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	31676	32089	+							HELPY_RS00180	414		old_locus_tag=HELPY_0029
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	31676	32089	+	WP_001023005.1	WP_001023005.1		universal stress protein			HELPY_RS00180	414	137	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	32104	32379	+							HELPY_RS00185	276		old_locus_tag=HELPY_0030
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	32104	32379	+	WP_000784922.1	WP_000784922.1		ATP-dependent Clp protease adaptor ClpS			HELPY_RS00185	276	91	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	32379	34604	+							HELPY_RS00190	2226		old_locus_tag=HELPY_0031
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	32379	34604	+	WP_001051516.1	WP_001051516.1		ATP-dependent Clp protease ATP-binding subunit			HELPY_RS00190	2226	741	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	34594	34947	+					panD		HELPY_RS00195	354		old_locus_tag=HELPY_0032
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	34594	34947	+	WP_000142262.1	WP_000142262.1		aspartate 1-decarboxylase	panD		HELPY_RS00195	354	117	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	34950	35252	+							HELPY_RS00200	303		old_locus_tag=HELPY_0033
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	34950	35252	+	WP_000347926.1	WP_000347926.1		YbaB/EbfC family nucleoid-associated protein			HELPY_RS00200	303	100	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	35252	36256	+							HELPY_RS00205	1005		old_locus_tag=HELPY_0034
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	35252	36256	+	WP_000468457.1	WP_000468457.1		PDZ domain-containing protein			HELPY_RS00205	1005	334	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	36264	37319	+							HELPY_RS00210	1056		old_locus_tag=HELPY_0035
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	36264	37319	+	WP_000786644.1	WP_000786644.1		P-type conjugative transfer protein TrbL			HELPY_RS00210	1056	351	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	37335	37448	+							HELPY_RS00215	114		
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	37335	37448	+	WP_001217873.1	WP_001217873.1		hypothetical protein			HELPY_RS00215	114	37	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	37445	38188	+							HELPY_RS00220	744		old_locus_tag=HELPY_0036
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	37445	38188	+	WP_001208405.1	WP_001208405.1		virB8 family protein			HELPY_RS00220	744	247	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	38188	39177	+							HELPY_RS00225	990		old_locus_tag=HELPY_0037
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	38188	39177	+	WP_012777816.1	WP_012777816.1		TrbG/VirB9 family P-type conjugative transfer protein			HELPY_RS00225	990	329	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	39170	40300	+							HELPY_RS00230	1131		old_locus_tag=HELPY_0038
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	39170	40300	+	WP_001045895.1	WP_001045895.1		DNA type IV secretion system protein ComB10			HELPY_RS00230	1131	376	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	40371	41783	+							HELPY_RS00235	1413		old_locus_tag=HELPY_0039
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	40371	41783	+	WP_000694863.1	WP_000694863.1		mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase			HELPY_RS00235	1413	470	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	41824	42969	+					gmd		HELPY_RS00240	1146		old_locus_tag=HELPY_0040
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	41824	42969	+	WP_000659814.1	WP_000659814.1		GDP-mannose 4,6-dehydratase	gmd		HELPY_RS00240	1146	381	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	42962	43894	+							HELPY_RS00245	933		old_locus_tag=HELPY_0041
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	42962	43894	+	WP_001002506.1	WP_001002506.1		GDP-L-fucose synthase			HELPY_RS00245	933	310	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	44210	45208	-					hypE		HELPY_RS00250	999		old_locus_tag=HELPY_0042
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	44210	45208	-	WP_000378793.1	WP_000378793.1		hydrogenase expression/formation protein HypE	hypE		HELPY_RS00250	999	332	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	45220	47472	-					hypF		HELPY_RS00255	2253		old_locus_tag=HELPY_0043
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	45220	47472	-	WP_041200370.1	WP_041200370.1		carbamoyltransferase HypF	hypF		HELPY_RS00255	2253	750	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	47469	48461	-							HELPY_RS00260	993		old_locus_tag=HELPY_0044
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	47469	48461	-	WP_000827276.1	WP_000827276.1		agmatine/peptidylarginine deiminase			HELPY_RS00260	993	330	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	48513	49211	-							HELPY_RS00265	699		old_locus_tag=HELPY_0045
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	48513	49211	-	WP_000614620.1	WP_000614620.1		site-specific DNA-methyltransferase			HELPY_RS00265	699	232	
gene	pseudogene	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	49208	50313	-							HELPY_RS07825	1106		pseudo;old_locus_tag=HELPY_0046
CDS	without_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	49208	50313	-				DNA cytosine methyltransferase			HELPY_RS07825	1106		pseudo
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	50353	51843	-					putP		HELPY_RS00280	1491		old_locus_tag=HELPY_0048
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	50353	51843	-	WP_000510266.1	WP_000510266.1		sodium/proline symporter PutP	putP		HELPY_RS00280	1491	496	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	51870	55427	-							HELPY_RS00285	3558		old_locus_tag=HELPY_0049
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	51870	55427	-	WP_001169336.1	WP_001169336.1		bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase			HELPY_RS00285	3558	1185	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	55756	55965	+							HELPY_RS00290	210		old_locus_tag=HELPY_0050
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	55756	55965	+	WP_000849031.1	WP_000849031.1		hypothetical protein			HELPY_RS00290	210	69	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	56288	57265	+							HELPY_RS00295	978		old_locus_tag=HELPY_0051
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	56288	57265	+	WP_000467209.1	WP_000467209.1		hypothetical protein			HELPY_RS00295	978	325	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	57266	58111	+							HELPY_RS00300	846		old_locus_tag=HELPY_0052
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	57266	58111	+	WP_000536953.1	WP_000536953.1		hypothetical protein			HELPY_RS00300	846	281	
gene	pseudogene	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	58122	60537	+							HELPY_RS00305	2416		pseudo
CDS	without_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	58122	60537	+				hypothetical protein			HELPY_RS00305	2416		pseudo
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	60534	61103	+							HELPY_RS00310	570		old_locus_tag=HELPY_0055
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	60534	61103	+	WP_012777818.1	WP_012777818.1		hypothetical protein			HELPY_RS00310	570	189	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	61119	61379	+							HELPY_RS00315	261		old_locus_tag=HELPY_0056
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	61119	61379	+	WP_000092115.1	WP_000092115.1		hypothetical protein			HELPY_RS00315	261	86	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	61390	63099	+							HELPY_RS00320	1710		old_locus_tag=HELPY_0057
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	61390	63099	+	WP_000852759.1	WP_000852759.1		HNH endonuclease			HELPY_RS00320	1710	569	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	63069	63494	+							HELPY_RS00325	426		old_locus_tag=HELPY_0058
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	63069	63494	+	WP_000503919.1	WP_000503919.1		SMI1/KNR4 family protein			HELPY_RS00325	426	141	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	63496	63843	+							HELPY_RS00330	348		old_locus_tag=HELPY_0059
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	63496	63843	+	WP_000491245.1	WP_000491245.1		hypothetical protein			HELPY_RS00330	348	115	
gene	pseudogene	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	63836	66252	+							HELPY_RS07830	2417		pseudo
CDS	without_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	63836	66252	+				DNA translocase FtsK			HELPY_RS07830	2417		pseudo
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	66337	67134	-							HELPY_RS00345	798		old_locus_tag=HELPY_0063
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	66337	67134	-	WP_001099427.1	WP_001099427.1		urease accessory protein UreD			HELPY_RS00345	798	265	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	67134	67733	-					ureG		HELPY_RS00350	600		old_locus_tag=HELPY_0064
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	67134	67733	-	WP_000238762.1	WP_000238762.1		urease accessory protein UreG	ureG		HELPY_RS00350	600	199	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	67762	68532	-							HELPY_RS00355	771		old_locus_tag=HELPY_0065
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	67762	68532	-	WP_000357411.1	WP_000357411.1		urease accessory protein UreF			HELPY_RS00355	771	256	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	68556	69068	-					ureE		HELPY_RS00360	513		old_locus_tag=HELPY_0066
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	68556	69068	-	WP_000583070.1	WP_000583070.1		urease accessory protein UreE	ureE		HELPY_RS00360	513	170	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	69070	69657	-					ureI		HELPY_RS00365	588		old_locus_tag=HELPY_0067
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	69070	69657	-	WP_000901267.1	WP_000901267.1		acid-activated urea channel protein UreI	ureI		HELPY_RS00365	588	195	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	69850	71559	-					ureB		HELPY_RS00370	1710		old_locus_tag=HELPY_0068
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	69850	71559	-	WP_000724295.1	WP_000724295.1		urease subunit beta	ureB		HELPY_RS00370	1710	569	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	71563	72279	-					ureA		HELPY_RS00375	717		old_locus_tag=HELPY_0069
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	71563	72279	-	WP_000779240.1	WP_000779240.1		urease subunit alpha	ureA		HELPY_RS00375	717	238	
gene	tRNA	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	72529	72604	-							HELPY_RS00380	76		old_locus_tag=HELPY_tRNA31
tRNA		GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	72529	72604	-				tRNA-Val			HELPY_RS00380	76		anticodon=GAC
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	72625	73098	-					lspA		HELPY_RS00385	474		old_locus_tag=HELPY_0071
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	72625	73098	-	WP_000921373.1	WP_000921373.1		signal peptidase II	lspA		HELPY_RS00385	474	157	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	73092	74429	-					glmM		HELPY_RS00390	1338		old_locus_tag=HELPY_0072
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	73092	74429	-	WP_000688412.1	WP_000688412.1		phosphoglucosamine mutase	glmM		HELPY_RS00390	1338	445	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	74519	74788	+					rpsT		HELPY_RS00395	270		old_locus_tag=HELPY_0073
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	74519	74788	+	WP_001273611.1	WP_001273611.1		30S ribosomal protein S20	rpsT		HELPY_RS00395	270	89	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	74916	75974	+					prfA		HELPY_RS00400	1059		old_locus_tag=HELPY_0074
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	74916	75974	+	WP_000025096.1	WP_000025096.1		peptide chain release factor 1	prfA		HELPY_RS00400	1059	352	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	76370	76627	+							HELPY_RS00405	258		old_locus_tag=HELPY_0075
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	76370	76627	+	WP_000755240.1	WP_000755240.1		hypothetical protein			HELPY_RS00405	258	85	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	76638	78050	+							HELPY_RS00410	1413		old_locus_tag=HELPY_0076
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	76638	78050	+	WP_000748040.1	WP_000748040.1		outer membrane beta-barrel protein			HELPY_RS00410	1413	470	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	78302	80065	+							HELPY_RS00415	1764		old_locus_tag=HELPY_0077
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	78302	80065	+	WP_000644178.1	WP_000644178.1		hypothetical protein			HELPY_RS00415	1764	587	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	80455	82476	-					tlpC		HELPY_RS00425	2022		old_locus_tag=HELPY_0078
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	80455	82476	-	WP_000843364.1	WP_000843364.1		methyl-accepting chemotaxis protein TlpC	tlpC		HELPY_RS00425	2022	673	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	82617	83006	-					rpsI		HELPY_RS00430	390		old_locus_tag=HELPY_0080
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	82617	83006	-	WP_001227274.1	WP_001227274.1		30S ribosomal protein S9	rpsI		HELPY_RS00430	390	129	
