#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	name2	cdsStartStat	cdsEndStat	exonFrames	type	geneName	geneName2	geneType	transcriptClass	source	transcriptType	tag	level	tier
# Filtering on 0 columns
chr6	157148907	157207868	ENST00000635957.1	0	+	157148907	157207868	789624	13	44,146,110,159,210,205,139,170,151,97,784,131,1702,	0,18132,25100,25939,32061,35323,40734,41133,47257,49903,51797,54958,57259,	uc285zae.1	none	none	0,2,1,0,0,0,1,2,1,2,0,1,0,	none	ARID1B	A0A1B0GV63	none	coding	havana_homo_sapiens	protein_coding	NAGNAG_splice_site,RNA_Seq_supported_only,cds_end_NF,cds_start_NF,mRNA_end_NF,mRNA_start_NF,overlapping_locus	2	all
chr6	157148910	157186610	ENST00000400790.3	0	+	157148910	157184545	789624	5	41,146,110,210,2380,	0,18129,25097,32058,35320,	uc063sml.1	none	none	0,2,1,0,0,	none	ARID1B	H0Y3S9	none	coding	havana_homo_sapiens	protein_coding	cds_start_NF,mRNA_start_NF,overlapping_locus	2	all
chr6	157166014	157170249	ENST00000637722.1	0	+	157166014	157166014	16646144	1	4235,	0,	uc285zaf.1	none	none	-1,	none	ARID1B	none	none	nonCoding	havana_homo_sapiens	retained_intron	RNA_Seq_supported_only,overlapping_locus	2	all
chr6	157170049	157208021	ENST00000637741.1	0	+	157170049	157170049	25600	11	60,110,210,205,139,173,151,97,784,131,1855,	0,3958,10919,14181,19592,19988,26115,28761,30655,33816,36117,	uc285zag.1	none	none	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,	none	ARID1B	none	none	nonCoding	havana_homo_sapiens	processed_transcript	RNA_Seq_supported_only,overlapping_locus	2	all
chr6	157172775	157208685	ENST00000636940.1	0	+	157172775	157172775	16646144	11	1342,159,210,205,139,173,151,97,784,131,2519,	0,2071,8193,11455,16866,17262,23389,26035,27929,31090,33391,	uc285zah.1	none	none	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,	none	ARID1B	none	none	nonCoding	havana_homo_sapiens	retained_intron	RNA_Seq_supported_only,overlapping_locus	2	all
chr6	157173500	157174331	ENST00000637170.1	0	+	157173500	157173500	16646144	1	831,	0,	uc285zai.1	none	none	-1,	none	ARID1B	none	none	nonCoding	havana_homo_sapiens	retained_intron	RNA_Seq_supported_only,overlapping_locus	2	all
chr6	157173984	157180994	ENST00000478761.4	0	+	157173984	157173984	16646144	3	133,159,26,	0,862,6984,	uc285zaj.1	none	none	-1,-1,-1,	none	ARID1B	none	none	nonCoding	havana_homo_sapiens	retained_intron	overlapping_locus	2	all
chr6	157174846	157175840	ENST00000636909.1	0	+	157174846	157174846	16646144	1	994,	0,	uc285zak.1	none	none	-1,	none	ARID1B	none	none	nonCoding	havana_homo_sapiens	retained_intron	RNA_Seq_supported_only,overlapping_locus	2	all
chr6	157193470	157208695	ENST00000636227.1	0	+	157193470	157193470	16646144	5	2845,97,784,131,2529,	0,5340,7234,10395,12696,	uc285zal.1	none	none	-1,-1,-1,-1,-1,	none	ARID1B	none	none	nonCoding	havana_homo_sapiens	retained_intron	RNA_Seq_supported_only,overlapping_locus	2	all
chr6	157198508	157208700	ENST00000636254.1	0	+	157198508	157198508	16646144	4	399,784,131,2534,	0,2196,5357,7658,	uc285zam.1	none	none	-1,-1,-1,-1,	none	ARID1B	none	none	nonCoding	havana_homo_sapiens	retained_intron	RNA_Seq_supported_only,overlapping_locus	2	all
chr6	157203657	157208700	ENST00000637933.1	0	+	157203657	157203657	16646144	1	5043,	0,	uc285zan.1	none	none	-1,	none	ARID1B	none	none	nonCoding	havana_homo_sapiens	retained_intron	RNA_Seq_supported_only,overlapping_locus	2	all
chr6	157206616	157209150	ENST00000635928.1	0	+	157206616	157208538	789624	2	875,676,	0,1858,	uc285zao.1	none	none	0,2,	none	ARID1B	A0A1B0GTI6	none	coding	havana_homo_sapiens	protein_coding	RNA_Seq_supported_only,cds_start_NF,mRNA_start_NF,overlapping_locus	2	all
